kalfirvach,concepto,pos,categoria,ipa,lengua_origen,raiz_original
anya,otro,pronoun,Pronombres Y Deicticos,/ˈa.nja/,Sánscrito Védico / Persa Avéstico / Griego Koiné,anya 'otro' / anya 'otro' / ἄλλος (állos) 'otro'
asa,"aquel (demostrativo distal, lejos del hablante y oyente)",pronoun,Pronombres Y Deicticos,/ˈa.sa/,Sánscrito Védico / Persa Avéstico / Árabe esotérico,asau 'aquel' (Skt) / ava 'aquel' (Av) / tilka 'aquel' (Ar)
bahu,mucho,pronoun,Pronombres Y Deicticos,/ˈba.hu/,Sánscrito Védico / Persa Avéstico / Griego Koiné,bahu 'mucho' / ba- 'mucho' / πολύς (polys) 'mucho'
eta,"ese (demostrativo medial, distancia media)",pronoun,Pronombres Y Deicticos,/ˈe.ta/,Sánscrito Védico / Persa Avéstico / Árabe esotérico,etat 'ese' (Skt) / aēta 'ese' (Av) / dhalika 'ese' (Ar)
ida,aquí,pronoun,Pronombres Y Deicticos,/ˈi.da/,Sánscrito Védico / Persa Avéstico / Griego Koiné,iha 'aquí' / idha 'aquí' / ἐνθάδε (entháde) 'aquí'
ima,"este (demostrativo proximal, cerca del hablante)",pronoun,Pronombres Y Deicticos,/ˈi.ma/,Sánscrito Védico / Persa Avéstico / Griego Koiné,imam 'este' (Skt) / imat 'este' (Av) / ὅδε (hóde) 'este' (Gr)
kada,"cuándo (interrogativo, tiempo)",pronoun,Pronombres Y Deicticos,/ˈka.da/,Sánscrito Védico / Griego Koiné / Tibetano Clásico,"kadā 'cuándo' (Skt) / ποτέ (poté) 'cuándo' (Gr) / nam 'cuándo' (Tib, adaptado)"
kanam,poco,pronoun,Pronombres Y Deicticos,/ˈka.nam/,Sánscrito Védico / Persa Avéstico / Griego Koiné,kanam 'poco' / kam 'poco' / ὀλίγος (olígos) 'poco'
katha,"cómo (interrogativo, modo o manera)",pronoun,Pronombres Y Deicticos,/ˈka.θa/,Sánscrito Védico / Griego Koiné / Tibetano Clásico,"katham 'cómo' (Skt) / πῶς (pōs) 'cómo' (Gr) / ciṅ 'cómo' (Tib, adaptado)"
kachi,alguno,pronoun,Pronombres Y Deicticos,/ˈka.tʃi/,Sánscrito Védico / Persa Avéstico / Griego Koiné,katicit 'algunos' / cand 'algunos' / τις (tis) 'alguno'
